

Idaho (PST) SNOTEL Site Deadwood Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Mon Jun 24 13:50:08 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,WTEQ.I-2 (in) ,
439,2009-12-12,,     4.9,     4.6,
439,2009-12-13,,     5.3,     5.3,
439,2009-12-14,,     5.4,     5.4,
439,2009-12-15,,     5.4,     5.3,
439,2009-12-16,,     6.8,     6.6,
439,2009-12-17,,     7.8,     7.7,
439,2009-12-18,,     8.1,     8.5,
439,2009-12-19,,     8.2,     8.1,
439,2009-12-20,,     8.2,     8.1,
439,2009-12-21,,     8.7,     8.6,
439,2009-12-22,,     9.1,     8.9,
439,2009-12-23,,     9.1,     8.9,
439,2009-12-24,,     9.1,     9.7,
439,2009-12-25,,     9.1,     9.0,
439,2009-12-26,,     9.2,     9.5,
439,2009-12-27,,     9.2,     9.5,
439,2009-12-28,,     9.2,     8.8,
439,2009-12-29,,     9.4,     9.4,
439,2009-12-30,,     9.4,     9.4,
439,2009-12-31,,     9.6,     9.5,
439,2010-01-01,,    10.2,    10.1,
439,2010-01-02,,    11.4,    11.3,
439,2010-01-03,,    11.4,    11.4,
439,2010-01-04,,    11.4,    11.3,
439,2010-01-05,,    11.9,    11.7,
439,2010-01-06,,    12.7,    12.6,
439,2010-01-07,,    12.7,    13.5,
439,2010-01-08,,    12.7,    12.2,
439,2010-01-09,,    12.7,    12.5,
439,2010-01-10,,    12.8,    12.6,
439,2010-01-11,,    12.8,    12.6,
439,2010-01-12,,    12.8,    12.7,
439,2010-01-13,,    13.6,    13.4,
439,2010-01-14,,    14.1,    14.0,
439,2010-01-15,,    14.1,    14.0,
439,2010-01-16,,    14.1,    14.0,
439,2010-01-17,,    14.4,    14.1,
439,2010-01-18,,    14.5,    14.3,
439,2010-01-19,,    14.7,    14.5,
439,2010-01-20,,    15.2,    15.0,
439,2010-01-21,,    15.4,    15.3,
439,2010-01-22,,    15.5,    15.4,
439,2010-01-23,,    15.8,    15.8,
439,2010-01-24,,    16.2,    16.1,
439,2010-01-25,,    16.2,    16.1,
439,2010-01-26,,    16.3,    16.2,
439,2010-01-27,,    16.7,    16.6,
439,2010-01-28,,    16.8,    16.7,
439,2010-01-29,,    16.9,    16.9,
439,2010-01-30,,    16.9,    16.7,
439,2010-01-31,,    16.9,    16.8,
439,2010-02-01,,    17.1,    17.3,
439,2010-02-02,,    17.1,    17.4,
439,2010-02-03,,    17.1,    17.4,
439,2010-02-04,,    17.2,    17.1,
439,2010-02-05,,    17.2,    17.2,
439,2010-02-06,,    17.6,    17.5,
439,2010-02-07,,    17.6,    17.3,
439,2010-02-08,,    17.6,    17.1,
439,2010-02-09,,    17.6,    17.3,
439,2010-02-10,,    17.6,    17.4,
439,2010-02-11,,    17.8,    17.7,
439,2010-02-12,,    18.1,    18.0,
439,2010-02-13,,    18.6,    18.4,
439,2010-02-14,,    18.7,    18.6,
439,2010-02-15,,    18.7,    18.6,
439,2010-02-16,,    18.7,    18.6,
439,2010-02-17,,    18.8,    18.9,
439,2010-02-18,,    18.8,    18.7,
439,2010-02-19,,    18.8,    18.8,
439,2010-02-20,,    18.8,    18.5,
439,2010-02-21,,    18.8,    19.0,
439,2010-02-22,,    18.8,    18.8,
439,2010-02-23,,    18.8,    18.5,
439,2010-02-24,,    18.8,    18.7,
439,2010-02-25,,    19.1,    19.0,
439,2010-02-26,,    19.1,    19.0,
439,2010-02-27,,    19.3,    19.1,
439,2010-02-28,,    19.3,    19.3,
439,2010-03-01,,    19.3,    19.1,
439,2010-03-02,,    19.3,    19.2,
439,2010-03-03,,    19.3,    19.2,
439,2010-03-04,,    19.5,    19.4,
439,2010-03-05,,    19.6,    19.6,
439,2010-03-06,,    19.7,    19.7,
439,2010-03-07,,    19.7,    19.6,
439,2010-03-08,,    19.7,    19.7,
439,2010-03-09,,    20.1,    19.9,
439,2010-03-10,,    20.1,    20.0,
439,2010-03-11,,    20.1,    19.8,
439,2010-03-12,,    20.1,    19.9,
439,2010-03-13,,    20.6,    20.3,
439,2010-03-14,,    20.7,    20.7,
439,2010-03-15,,    20.7,    20.7,
439,2010-03-16,,    20.7,    20.8,
439,2010-03-17,,    20.7,    20.7,
439,2010-03-18,,    20.7,    21.1,
439,2010-03-19,,    20.7,    20.2,
439,2010-03-20,,    20.7,    21.3,
439,2010-03-21,,    20.7,    20.5,
439,2010-03-22,,    21.2,    21.1,
439,2010-03-23,,    21.5,    21.3,
439,2010-03-24,,    21.5,    21.0,
439,2010-03-25,,    21.6,    21.3,
439,2010-03-26,,    21.6,    21.4,
439,2010-03-27,,    21.9,    21.8,
439,2010-03-28,,    22.0,    21.7,
439,2010-03-29,,    22.1,    21.8,
439,2010-03-30,,    24.4,    24.1,
439,2010-03-31,,    25.5,    25.2,
439,2010-04-01,,    26.0,    25.8,
439,2010-04-02,,    26.0,    25.9,
439,2010-04-03,,    26.7,    26.5,
439,2010-04-04,,    26.8,    26.6,
439,2010-04-05,,    26.9,    26.7,
439,2010-04-06,,    27.0,    26.8,
439,2010-04-07,,    27.2,    26.9,
439,2010-04-08,,    27.2,    26.9,
439,2010-04-09,,    27.2,    27.7,
439,2010-04-10,,    27.2,    27.7,
439,2010-04-11,,    27.5,    27.3,
439,2010-04-12,,    27.6,    27.3,
439,2010-04-13,,    27.6,    27.3,
439,2010-04-14,,    27.8,    27.6,
439,2010-04-15,,    28.0,    27.7,
439,2010-04-16,,    27.8,    27.5,
439,2010-04-17,,    27.5,    27.2,
439,2010-04-18,,    27.0,    26.7,
439,2010-04-19,,    26.6,    26.3,
439,2010-04-20,,    26.0,    25.7,
439,2010-04-21,,    25.3,    25.0,
439,2010-04-22,,    24.9,    24.5,
439,2010-04-23,,    24.1,    23.9,
439,2010-04-24,,    23.8,    23.6,
439,2010-04-25,,    23.6,    23.3,
439,2010-04-26,,    23.6,    23.3,
439,2010-04-27,,    22.8,    22.6,
439,2010-04-28,,    24.1,    23.8,
439,2010-04-29,,    25.0,    24.7,
439,2010-04-30,,    25.4,    25.1,
439,2010-05-01,,    25.4,    25.1,
439,2010-05-02,,    25.7,    25.4,
439,2010-05-03,,    25.8,    25.5,
439,2010-05-04,,    26.2,    25.8,
439,2010-05-05,,    26.2,    25.7,
439,2010-05-06,,    26.5,    26.3,
439,2010-05-07,,    26.5,    26.6,
439,2010-05-08,,    26.6,    26.3,
439,2010-05-09,,    26.6,    26.5,
439,2010-05-10,,    26.5,    26.2,
439,2010-05-11,,    26.2,    25.9,
439,2010-05-12,,    25.9,    25.6,
439,2010-05-13,,    25.7,    25.4,
439,2010-05-14,,    25.0,    24.7,
439,2010-05-15,,    24.1,    23.8,
439,2010-05-16,,    23.5,    23.2,
439,2010-05-17,,    22.4,    22.1,
439,2010-05-18,,    21.2,    20.9,
439,2010-05-19,,    20.4,    20.1,
439,2010-05-20,,    19.6,    19.2,
439,2010-05-21,,    19.0,    18.7,
439,2010-05-22,,    19.3,    19.1,
439,2010-05-23,,    19.7,    19.5,
439,2010-05-24,,    19.6,    19.3,
439,2010-05-25,,    19.7,    19.5,
439,2010-05-26,,    19.4,    19.2,
439,2010-05-27,,    19.0,    18.8,
439,2010-05-28,,    19.1,    18.8,
439,2010-05-29,,    19.0,    18.9,
439,2010-05-30,,    18.8,    18.5,
439,2010-05-31,,    18.3,    18.0,
439,2010-06-01,,    17.8,    17.5,
439,2010-06-02,,    17.1,    16.9,
439,2010-06-03,,    16.7,    17.1,
439,2010-06-04,,    16.2,    15.9,
439,2010-06-05,,    15.6,    15.4,
439,2010-06-06,,    14.8,    13.9,
439,2010-06-07,,    13.9,    13.7,
439,2010-06-08,,    12.3,    12.1,
439,2010-06-09,,    11.3,    11.1,
439,2010-06-10,,    10.4,    10.2,
439,2010-06-11,,    10.1,     9.9,
439,2010-06-12,,     9.3,     9.2,
439,2010-06-13,,     7.8,     7.7,
439,2010-06-14,,     6.4,     6.2,
439,2010-06-15,,     4.8,     4.5,
439,2010-06-16,,     3.6,     3.5,
439,2010-06-17,,     2.8,     2.8,
439,2010-06-18,,     2.1,     2.5,
439,2010-06-19,,     1.3,     1.2,
439,2010-06-20,,     0.3,     0.0,
439,2010-06-21,,     0.0,     0.0,
439,2010-06-22,,     0.0,     0.0,
439,2010-06-23,,     0.0,     0.0,
439,2010-06-24,,     0.0,     0.0,
439,2010-06-25,,     0.0,     0.0,
439,2010-06-26,,     0.0,    -0.3,
439,2010-06-27,,     0.0,    -0.3,
439,2010-06-28,,     0.0,    -0.3,
439,2010-06-29,,     0.0,    -0.3,
439,2010-06-30,,     0.0,    -0.3,
439,2010-07-01,,     0.0,    -0.4,
439,2010-07-02,,     0.0,    -0.3,
439,2010-07-03,,     0.0,    -0.3,
439,2010-07-04,,     0.0,    -0.3,
439,2010-07-05,,     0.0,    -0.3,
439,2010-07-06,,     0.0,    -0.2,
439,2010-07-07,,     0.0,    -0.3,
439,2010-07-08,,     0.0,    -0.3,
439,2010-07-09,,     0.0,    -0.4,
439,2010-07-10,,     0.0,    -0.4,
439,2010-07-11,,     0.0,    -0.3,
439,2010-07-12,,     0.0,    -0.3,
439,2010-07-13,,     0.0,    -0.3,
439,2010-07-14,,     0.0,    -0.1,
439,2010-07-15,,     0.0,    -0.3,
439,2010-07-16,,     0.0,    -0.4,
439,2010-07-17,,     0.0,    -0.4,
439,2010-07-18,,     0.0,    -0.3,
439,2010-07-19,,     0.0,    -0.3,
439,2010-07-20,,     0.0,    -0.2,
439,2010-07-21,,     0.0,    -0.5,
439,2010-07-22,,     0.0,    -0.3,
439,2010-07-23,,     0.0,    -0.2,
439,2010-07-24,,     0.0,    -0.2,
439,2010-07-25,,     0.0,    -0.4,
439,2010-07-26,,     0.0,    -0.4,
439,2010-07-27,,     0.0,    -0.3,
439,2010-07-28,,     0.0,    -0.4,
439,2010-07-29,,     0.0,    -0.3,
439,2010-07-30,,     0.0,    -0.4,
439,2010-07-31,,     0.0,    -0.4,
439,2010-08-01,,     0.0,    -0.3,
439,2010-08-02,,     0.0,    -0.3,
439,2010-08-03,,     0.0,    -0.3,
439,2010-08-04,,     0.0,    -0.2,
439,2010-08-05,,     0.0,    -0.3,
439,2010-08-06,,     0.0,    -0.3,
439,2010-08-07,,     0.0,    -0.4,
439,2010-08-08,,     0.0,    -0.3,
439,2010-08-09,,     0.0,    -0.3,
439,2010-08-10,,     0.0,    -0.3,
439,2010-08-11,,     0.0,    -0.3,
439,2010-08-12,,     0.0,    -0.1,
439,2010-08-13,,     0.0,    -0.1,
439,2010-08-14,,     0.0,    -0.2,
439,2010-08-15,,     0.0,    -0.3,
439,2010-08-16,,     0.0,    -0.3,
439,2010-08-17,,     0.0,    -0.3,
439,2010-08-18,,     0.0,    -0.3,
439,2010-08-19,,     0.0,    -0.3,
439,2010-08-20,,     0.0,    -0.3,
439,2010-08-21,,     0.0,    -0.3,
439,2010-08-22,,     0.0,    -0.4,
439,2010-08-23,,     0.0,    -0.2,
439,2010-08-24,,     0.0,    -0.2,
439,2010-08-25,,     0.0,    -0.3,
439,2010-08-26,,     0.0,    -0.3,
439,2010-08-27,,     0.0,    -0.2,
439,2010-08-28,,     0.0,    -0.2,
439,2010-08-29,,     0.0,    -0.2,
439,2010-08-30,,     0.0,    -0.1,
439,2010-08-31,,     0.0,    -0.1,
439,2010-09-01,,     0.0,    -0.1,
439,2010-09-02,,     0.0,    -0.1,
439,2010-09-03,,     0.0,    -0.2,
439,2010-09-04,,     0.0,    -0.2,
439,2010-09-05,,     0.0,    -0.2,
439,2010-09-06,,     0.0,    -0.2,
439,2010-09-07,,     0.0,    -0.2,
439,2010-09-08,,     0.0,    -0.2,
439,2010-09-09,,     0.0,    -0.1,
439,2010-09-10,,     0.0,    -0.1,
439,2010-09-11,,     0.0,    -0.1,
439,2010-09-12,,     0.0,    -0.1,
439,2010-09-13,,     0.0,    -0.2,
439,2010-09-14,,     0.0,    -0.2,
439,2010-09-15,,     0.0,    -0.2,
439,2010-09-16,,     0.0,    -0.2,
439,2010-09-17,,     0.0,    -0.2,
439,2010-09-18,,     0.0,    -0.2,
439,2010-09-19,,     0.0,    -0.2,
439,2010-09-20,,     0.0,    -0.2,
439,2010-09-21,,     0.0,    -0.1,
439,2010-09-22,,     0.0,    -0.1,
439,2010-09-23,,     0.0,    -0.1,
439,2010-09-24,,     0.0,    -0.1,
439,2010-09-25,,     0.0,    -0.1,
439,2010-09-26,,     0.0,    -0.1,
439,2010-09-27,,     0.0,    -0.2,
439,2010-09-28,,     0.0,    -0.2,
439,2010-09-29,,     0.0,    -0.2,
439,2010-09-30,,     0.0,-99.9,
439,2010-09-30,23:59,-99.9,-99.9,




